GENUS,SPECIES,B0,B1
Fraxinus,profunda,-2.48,2.4835
Robinia,pseudoacacia,-2.48,2.4835
Prosopis,pubescens,-0.7152,1.7029
Leucaena,pulverulenta,-2.48,2.4835
Castanea,pumila,-2.48,2.4835
Castanea,pumila,-2.48,2.4835
Ulmus,pumila,-2.48,2.4835
Picea,pungens,-2.0773,2.3323
Pinus,pungens,-2.5356,2.4349
Magnolia,pyramidata,-2.48,2.4835
Salix,pyrifolia,-2.2094,2.3867
Fraxinus,quadrangulata,-2.48,2.4835
Pinus,quadrifolia,-0.7152,1.7029
Melaleuca,quinquenervia,-2.48,2.4835
Laguncularia,racemosa,-2.48,2.4835
Platanus,racemosa,-2.48,2.4835
Pinus,radiata,-2.5356,2.4349
Thrinax,radiata,-2.48,2.4835
Pinus,remota,-0.7152,1.7029
Pinus,resinosa,-2.5356,2.4349
Eugenia,rhombea,-2.48,2.4835
Alnus,rhombifolia,-2.2094,2.3867
Pinus,rigida,-2.5356,2.4349
Eucalyptus,robusta,-2.48,2.4835
Picea,rubens,-2.0773,2.3323
Alnus,rubra,-2.2094,2.3867
Morus,rubra,-2.48,2.4835
Quercus,rubra,-2.0127,2.4342
Ulmus,rubra,-2.48,2.4835
Acer,rubrum,-1.9123,2.3651
Quercus,rugosa,-0.7152,1.7029
Pinus,sabiniana,-2.5356,2.4349
Acer,saccharinum,-1.9123,2.3651
Acer,saccharum,-2.0127,2.4342
Sideroxylon,salicifolium,-2.48,2.4835
Amelanchier,sanguinea,-2.48,2.4835
Sapindus,saponaria,-2.48,2.4835
Cupressus,sargentii,-2.0336,2.2592
Juniperus,scopulorum,-0.7152,1.7029
Salix,scouleriana,-2.2094,2.3867
Cordia,sebestena,-2.48,2.4835
Triadica,sebifera,-2.48,2.4835
Sequoia,sempervirens,-2.0336,2.2592
Salix,sepulcralis,-2.2094,2.3867
Pinus,serotina,-2.5356,2.4349
Prunus,serotina,-2.48,2.4835
Ulmus,serotina,-2.48,2.4835
Abies,shastensis,-2.5384,2.4814
Quercus,shumardii,-2.0127,2.4342
Bursera,simaruba,-2.48,2.4835
Quercus,similis,-2.0127,2.4342
Quercus,sinuata,-2.0127,2.4342
